ID,Text,Comment
KeyBinding.StorageTab,Mở thẻ Kho chứa,"Label of the key that opens the Settlement Panel and selects the Storage tab, Storage should be the same as BatchControl.Storage"
KeyBinding.TickOnce,Tăng 1 nhịp mô phỏng,As in 'One clock tick'. Alternatively you can call it 'One tick' or 'Advance by one tick' or 'Step one tick'. This action causes the game's time to advance by one simulation tick.
KeyBinding.Toggle,Bật/tắt:,Used to describe key binding that toggles something on/off.
KeyBinding.ToggleBatchControlBox,Bật/tắt bảng Định cư,Label of the key that opens/close the Settlement panel
KeyBinding.ToggleBrushShape,Thay đổi hình dạng cọ,"Label of the key that toggles the shape of the brush, 'brush shape' should be the same as MapEditor.Brush.Shape.Label"
KeyBinding.ToggleBuildingPause,Tạm dừng công trình đang chọn,Label of the key that pauses the selected building
KeyBinding.ToggleConsole,Bật/tắt bảng lệnh,Label of the key that toggles the console with logs
KeyBinding.ToggleGUI,Bật/tắt giao diện người dùng,Label of the key that hides/shows the whole user interface
KeyBinding.ToggleGuidelines,Bật/tắt đường lưới hướng dẫn,Toggle guidelines on/off
KeyBinding.ToggleHaulingPriority,Bật/tắt ưu tiên vận chuyển,Label of the key that toggles the hauling priority of the selected object
KeyBinding.ToggleNaturalResources,Bật/tắt tài nguyên thiên nhiên,Label of the key that shows/hides the natural resources in map editor. Natural resources should be the same as NaturalResources.Visibility.Show
KeyBinding.ToggleStockpileOverlay,Bật/tắt lớp phủ kho chứa,Label of the key that shows/hides the storage overlay
KeyBinding.ToggleStockpilePriority,Bật/tắt ưu tiên kho chứa,Label of the key that toggles the priority of the selected warehouse between StockpilePriority.Accept/StockpilePriority.Obtain/StockpilePriority.Supply/StockpilePriority.Empty
KeyBinding.ToggleWaterVisibility,Bật/tắt độ trong suốt của nước,Label of the key that makes water semi-transparent
KeyBinding.ToggleWorkerType,Bật/tắt loại công nhân,Keybinding for toggling the worker type.
KeyBinding.UndoChanges,Hoàn tác thao tác,Key binding for undoing changes in Map editor.
KeyBinding.UniqueBuildingAction,Hành động đặc trưng của công trình,"Keybinding for execute main action assigned to selected building, for example detonate dynamite or switch lever state"
KeyBinding.UnlockTool,Mở khóa công cụ,Label of the key that unlocks the currently selected tool
KeyBinding.WorkplacesTab,Mở thẻ Nơi làm việc,"Label of the key that opens the Settlement Panel and selects the Workplaces tab, Workplaces should be the same as BatchControl.Workplaces"
KeyBinding.ZoomIn,Phóng to,Label of the key that zooms camera in
KeyBinding.ZoomOut,Thu nhỏ,Label of the key that zooms camera out
KeyBindingBox.ClearBinding,Xóa,Text on the button in rebinding dialog box that clears the current key binding. Please keep short.
KeyBindingBox.DuplicatedBinding,"Tổ hợp phím này đã được gán cho: 

{0}

Bạn vẫn muốn gán phím này chứ?","Message shown on key rebinding dialog box when the user tries to assign a key combination that is already assigned to another key binding, {0} stands for the list of key bindings e.g. KeyBinding.Speed0, KeyBinding.ToggleGUI etc."
KeyBindingBox.PrimaryBinding,Phím chính,Header of the primary key bindings column in the key bindings panel
KeyBindingBox.RebindingMessage,Nhấn một phím để gán lại cho: {0},"Message shown on key rebinding dialog box, {0} stands for the name of the key binding e.g. KeyBinding.Speed0, KeyBinding.ToggleGUI etc."
KeyBindingBox.ResetToDefault,Đặt lại mặc định,Text on the button in key bindings panel that resets all key bindings to their default bindings
KeyBindingBox.ResetToDefaultMessage,Bạn có chắc chắn muốn đặt lại tất cả phím tắt về giá trị mặc định không?,Message shown on key bindings panel when the user clicks the KeyBindingBox.ResetToDefault button
KeyBindingBox.SecondaryBinding,Phím phụ,Header of the secondary key bindings column in the key bindings panel
KeyBindingGroup.Buildings,Công trình,"Label for the key binding group associated with building controls (pausing, changing priority etc)"
KeyBindingGroup.Camera,Góc nhìn,"Label for the key binding group associated with camera controls (camera movement, rotation, zoom etc)"
KeyBindingGroup.MapEditor,Trình chỉnh sửa bản đồ,Label for the key binding group associated with map editor controls (mostly brush manipulation)
KeyBindingGroup.Objects,Điều khiển vật thể,"Label for the key binding group associated with object controls (rotating, removing, pausing etc)"
KeyBindingGroup.SettlementPanel,Bảng định cư,Label for the key binding group associated with settlement panel controls (opening panel and its tabs)
KeyBindingGroup.Time,Thời gian,Label for the key binding group associated with time controls (changing time speed)
KeyBindingGroup.UI,Giao diện người dùng,"Label for the key binding group associated with user interface controls (opening panels, toggling overlays etc)"
KeyBindingsPanel.Header,Phím tắt,Header of the key bindings box
LevelVisibility.InfoTooltip,Các tầng hiển thị,Tooltip for controls that allow the player to set the vertical level visibility
LevelVisibility.ResetTooltip,Đặt lại các tầng hiển thị,Tooltip for button that resets the vertical vertical visibility
LoadMapPanel.Delete,Xóa bản đồ,A button. Please keep short.
LoadMapPanel.DeleteMapPrompt,Bạn có chắc chắn muốn xóa {0} không?,{0} stands for map name
LoadMapPanel.Header,Chỉnh sửa bản đồ,
LoadingIssue.BlockObjectLoadingIssue,Vật thể ở vị trí không hợp lệ nên đã bị xóa: {0}.,
LoadingIssue.ContinuePlaying,Tiếp tục chơi,a button please keep short. Allows player to play dispite detected issues
LoadingIssue.LoadingIssues,Sự cố tải bản đồ,Shown when there are issues with loading map
LoadingIssue.LoadingIssuesDetected,Chi tiết:,Shown when there are issues with loading map
LoadingIssue.MapIssuesWarning,"Điều này có thể do thiếu mod hoặc phiên bản game mới hơn.

Bạn vẫn có thể tiếp tục chơi, nhưng bản đồ của bạn có thể không trọn vẹn.",Shown when there are issues with loading map - warning player about possible reason and consequences
LoadingIssue.PrefabNotFoundIssue,Vật thể thuộc loại không xác định nên đã bị xóa: {0}.,Warning shown when object type is not found in the game and cannot be instantiate.
LoadingIssue.TerrainCutOffIssue,Địa hình vượt quá chiều cao tối đa cho phép nên đã bị cắt bớt.,Warning shwon when terrain in saved map exceeds the maximum height of the map.
MainMenu.RosettaPerformanceWarning,Hiệu năng bị giảm.,"Warning message displayed in the main menu when Rosetta (MacOS compatibility mode) is enabled. Preceded by the ""Rosetta: OFF"" message."
MainMenu.SteamUpdateInfoText,"• Thêm các vật thể bản đồ tương tác mới
• Tự động hóa: Cảm biến, Rơ-le, Bộ hẹn giờ và nhiều tính năng khác
• Bản đồ mới: Oasis, Pressure, Spillage
• Cầu thang xoắn, Cổng nước, Ly hợp, Cờ trang trí
• Nâng cấp hệ thống hỗ trợ mod
• Cải tiến toàn bộ giao diện, tinh chỉnh hướng dẫn, công cụ nhân bản vật thể
• Thành tựu Steam","Text shown in the update info panel with the latest update summary. Sensor, Relay, Timer, Spiral Stairs, Gate, Banner and duplication naming must be consistent with the usage of those terms in the rest of the game."
MainMenu.UpdateInfoHeader,Cập nhật 1.0,"Header of the update info panel that is shown in the main menu, 1.0 is the current game version number. Keep consistent with MainMenu.UpdateInfoHeaderExperimental."
MainMenu.UpdateInfoHeaderExperimental,Cập nhật 1.0 - Thử nghiệm,"Header of the update info panel that is shown in the main menu of the experimental version, 1.0 is the current game version number. Keep consistent with MainMenu.UpdateInfoHeader."
MainMenu.UpdateInfoLink,<u>Đọc thêm</u>,Label of the link that opens web browser with the update details webpage.
MainMenu.UpdateInfoText,"• Thêm các vật thể bản đồ tương tác mới
• Tự động hóa: Cảm biến, Rơ-le, Bộ hẹn giờ và nhiều tính năng khác
• Bản đồ mới: Oasis, Pressure, Spillage
• Cầu thang xoắn, Cổng nước, Ly hợp, Cờ trang trí
• Nâng cấp hệ thống hỗ trợ mod
• Cải tiến toàn bộ giao diện, tinh chỉnh hướng dẫn, công cụ nhân bản vật thể","Text shown in the update info panel with the latest update summary. Sensor, Relay, Timer, Spiral Stairs, Gate, Banner and duplication naming must be consistent with the usage of those terms in the rest of the game."
MainMenu.WelcomeScreenStart,Bắt đầu!,A button please keep short
Manufactory.CurrentRecipe,Công thức,Text before a dropdown for changing factory recipe - what the factory produces from what ingredients.
Manufactory.NoRecipeOption,Không có,Text shown in a dropdown when no recipe is selected. Keep below 15 characters.
Manufactory.Recipe.BiofuelCarrot,Nhiên liệu sinh học (Cà rốt),Recipe for making Biofuel out of Carrots. Keep consistent with Good.Biofuel.DisplayName and Good.Carrot.PluralDisplayName.
Manufactory.Recipe.BiofuelPotato,Nhiên liệu sinh học (Khoai tây),Recipe for making Biofuel out of Potatoes. Keep consistent with Good.Biofuel.DisplayName and Good.Potato.PluralDisplayName.
Manufactory.Recipe.BiofuelSpadderdock,Nhiên liệu sinh học (Hoa súng),Recipe for making Biofuel out of Spadderdock. Keep consistent with Good.Biofuel.DisplayName and Good.Spadderdock.PluralDisplayName.
Manufactory.Recipe.EfficientScrapMetal,Mảnh kim loại (Hiệu quả),A more efficient way of getting scrap metal using explosives. The metal scrap itself is not more efficient. Scrap Metal is Good.ScrapMetal.PluralDisplayName
MapEditor.BlockObjectRandomizePlacement,Xoay và lật hướng ngẫu nhiên,Button to randomize the rotation and flip direction of the object being placed in the map editor
MapEditor.Brush.AbsoluteTerrainHeight,Địa hình (độ cao tuyệt đối),A tool that changes terrain height to an absolute value.
MapEditor.Brush.Density,Mật độ,Density of objects.
MapEditor.Brush.Direction.Label,Hướng cọ:,
MapEditor.Brush.Direction.Lower,Hạ thấp,
MapEditor.Brush.Direction.Raise,Nâng cao,
MapEditor.Brush.Height.Label,Độ cao cọ:,Either absolute or relative height at which brush will paint.
MapEditor.Brush.NaturalResourceRemoval,Xóa tài nguyên thiên nhiên,Natural resources meaning trees and bushes
MapEditor.Brush.NaturalResourceSpawning,Tài nguyên thiên nhiên,Natural resources meaning trees and bushes
MapEditor.Brush.RandomizeYieldGrowth,Độ trưởng thành ngẫu nhiên,"This text is next to a toggle that randomizes the percentage growth of fruit, chestnuts or other things that can be gathered and regrow"
MapEditor.Brush.RelativeTerrainHeight,Địa hình (độ cao tương đối),A tool that changes terrain height by a value relative to the original height.
MapEditor.Brush.SculptingTerrain,Địa hình (chạm khắc),Label of the brush that allows the player to sculpt the terrain (e.g. dig tunnels or create overhangs)
MapEditor.Brush.Shape.Label,Hình dạng cọ:,
MapEditor.Brush.Shape.Round,Tròn,
MapEditor.Brush.Shape.Square,Vuông,
MapEditor.Brush.Size.Label,Kích thước cọ:,
MapEditor.FlowPreview.StartTest,Bắt đầu thử nghiệm dòng chảy,Label of a button that starts water flow test in map editor.
MapEditor.FlowPreview.StopTest,Dừng thử nghiệm dòng chảy,Label of a button that stops water flow test in map editor.
MapEditor.Layers.NaturalResources,Tài nguyên thiên nhiên,
MapEditor.LoadMap.Header,Chọn bản đồ,
MapEditor.MapMetadata.Description,Mô tả bản đồ,Label of the map description
MapEditor.MapMetadata.Title,Dữ liệu bản đồ,Title of the map data panel in map editor. Currently it only contains the map description field to fill in.
MapEditor.MapWillBeSaved,Bản đồ sẽ được lưu.,Message that is shown when player clicks on the upload map button in map editor. With Ok/Cancel buttons.
MapEditor.NewMap,Bản đồ mới,A button please keep short
MapEditor.NewMap.Create,Tạo,A button which confirms new map parameters and starts the map editor
MapEditor.NewMap.Header,Bản đồ mới,
MapEditor.NewMap.Size,Kích thước:,
MapEditor.NoStartingLocation,Thêm một Vị trí xuất phát.,Notification that there is no starting location object. Keep consistent with Building.StartingLocation.DisplayName.
MapEditor.NonCompatibleMapVersion,Phiên bản bản đồ không tương thích.,Warning shown in the map editor when the map version is not compatible with the current game version.
MapEditor.NonCompatibleMapVersion.Tooltip,"Phiên bản bản đồ này ({0}) không tương thích với phiên bản game hiện tại ({1}). 
Lưu bản đồ để làm cho nó tương thích.",Tooltip shown over MapEditor.NonCompatibleMapVersion warning.
MapEditor.Redo,Làm lại,Label of a button that redoes changes in Map editor.
MapEditor.SaveMap.Header,Lưu bản đồ,
MapEditor.SaveMap.MapExists,Bản đồ {0} đã tồn tại.,{0} stands for map name
MapEditor.SaveMap.NamePlaceholder,Nhập giá trị...,Placeholder text in an empty map name text field
MapEditor.SaveMap.SavedAs,Đã lưu thành {0},{0} stands for map name. A notification when a map has been saved.
MapEditor.SimulationControls.Reset,Đặt lại,A button please keep short
MapEditor.SimulationControls.Tooltip,Mô phỏng nước,Short header
MapEditor.SizePrompt,Nhập kích thước từ {0}x{0} đến {1}x{1}.,{0} and {1} stands for a number
MapEditor.TerrainIntegrity.Warning,Chỉnh sửa này sẽ ảnh hưởng đến địa hình và công trình bên ngoài vùng chọn.,Warning shown when the player tries to edit terrain in a way that would affect terrain or objects outside the intended selection.
MapEditor.ThumbnailCapturing.CameraPosition,Vị trí camera:,Label for the controls in map editor that change the position of the thumbnail camera
MapEditor.ThumbnailCapturing.ClearOverlay,Xóa,Text on the button in map editor that clears the overlay of the thumbnail
MapEditor.ThumbnailCapturing.Description,Chọn vị trí ảnh thu nhỏ bản đồ. Ảnh màn hình sẽ được chụp khi lưu bản đồ.,Description of the map thumbnail panel in the map editor
MapEditor.ThumbnailCapturing.Overlay,Lớp phủ:,Label of the controls in map editor that change the overlay of the thumbnail
MapEditor.ThumbnailCapturing.OverlayTip,Chọn tệp PNG hoặc JPG kích thước 960x540. Sử dụng kênh alpha để hiển thị lớp phủ đè lên ảnh gốc.,Text in the thumbnail overlay selection dialog
MapEditor.ThumbnailCapturing.Reset,Đặt lại,Text on the button in map editor that resets the position of thumbnail image of the map to the default
MapEditor.ThumbnailCapturing.SelectOverlay,Chọn,Text on the button in map editor that changes the overlay of the thumbnail
MapEditor.ThumbnailCapturing.Title,Ảnh thu nhỏ bản đồ,Title of the map thumbnail panel in map editor
MapEditor.ThumbnailCapturing.UpdateThumbnail,Cập nhật,Text on the button in map editor that changes the position of the thumbnail camera
MapEditor.Undo,Hoàn tác,Label of a button that undoes changes in Map editor.
MapEditor.UploadMap,Tải bản đồ lên,Label of the button that uploads the map to some kind of online service
MapMetadata.Beaverome.Description,"Để xây dựng đại đô thị huyền thoại, tổ tiên loài hải ly đã rút cạn bảy miệng núi lửa hùng vĩ. Ngay cả với công nghệ gỗ ngày nay, đó vẫn là một kỳ tích không hề nhỏ.",
MapMetadata.Beaverome.Name,Beaverome,The name of this map comes from Beaver + Rome - an ancient beaver city.
MapMetadata.Canyon.Description,"Giữa sa mạc khô hạn, hải ly tìm kiếm những thung lũng nơi dòng sông vẫn trôi. Dễ dàng đắp đập ngăn nước, hẻm núi này sẽ trở thành bến đậu an toàn cho tất cả.",
MapMetadata.Canyon.Name,Hẻm núi,
MapMetadata.Cliffside.Description,Tàn tích kiến trúc cổ xưa của con người nằm rải rác khắp thung lũng hẻo lánh này. Hải ly khao khát để lại một dấu ấn tương tự cho thế giới.,
MapMetadata.Cliffside.Name,Vách đá,
MapMetadata.Craters.Description,Không ai biết làm thế nào những miệng núi lửa này xuất hiện. Các cuộc khai quật ban đầu cho thấy sự can thiệp tàn khốc của con người.,
MapMetadata.Craters.Name,Các miệng núi lửa,
MapMetadata.Diorama.Description,"Trước khi được phép giám sát các thuộc địa lớn, các nhà kiến thiết đầy triển vọng được giao nhiệm vụ điều hành các dự án quy mô nhỏ như dự án này.",
MapMetadata.Diorama.Name,Sa bàn,
MapMetadata.HelixMountain.Description,"Dù cảm thấy hình dáng lòng sông thiếu thực tế, hải ly vẫn phải công nhận kỹ năng thủy lợi hạn chế của loài người.",
MapMetadata.HelixMountain.Name,Núi Xoắn Ốc,The name of this map refers to the spiral shape of its central mountain.
MapMetadata.Hollows.Description,Những vùng trũng trù phú này là địa điểm hàng đầu cho cư dân định cư tương lai. Cảnh quan bị bào mòn ẩn chứa vô vàn cơ hội - những chú hải ly già nhất thậm chí còn thì thầm về kho báu bị chôn giấu.,
MapMetadata.Hollows.Name,Vùng trũng,
MapMetadata.Lakes.Description,"Thời nay, những khu vực giàu sông hồ trở nên vô cùng hiếm hoi. Những gì còn sót lại cho thấy vẫn còn hy vọng cho Trái Đất.",
MapMetadata.Lakes.Name,Các hồ nước,
MapMetadata.Meander.Description,Các kỹ sư hải ly rất háo hức khai thác độ uốn lượn tự nhiên của bờ sông. Lập kế hoạch sử dụng hiệu quả nhất không gian hạn chế mới là phần khó khăn.,
MapMetadata.Meander.Name,Khúc quanh,
MapMetadata.MountainRange.Description,"Trong cuộc tìm kiếm nước ngọt tuyệt vọng, hải ly sẵn sàng leo lên cả những dãy núi cao nhất.",
MapMetadata.MountainRange.Name,Dãy núi,
MapMetadata.NotUpdatedDescription,<RedHighlight>Bản đồ này chưa tương thích với nhánh thử nghiệm!</RedHighlight>,
MapMetadata.Oasis.Description,"Nơi trú ẩn xanh tươi đơn độc giữa vùng đất hoang hoại, được bao quanh bởi các tầng chứa nước có thể khai thác bằng kỹ thuật hải ly tài tình.",Aquifer refers to Building.Aquifer.DisplayName
MapMetadata.Oasis.Name,Ốc đảo,
MapMetadata.Plains.Description,"Với những khu vực rộng lớn bằng phẳng như đuôi hải ly, vùng đất này là nơi thử nghiệm an toàn cho các kỹ sư mới vào nghề.",
MapMetadata.Plains.Name,Đồng bằng,
MapMetadata.Pressure.Description,Hệ thống dẫn nước sáng tạo là kỹ năng đầu tiên mà một chú hải ly vùng đất hoang phải học.,
MapMetadata.Pressure.Name,Áp lực,
MapMetadata.Spillage.Description,"Sườn dốc này đầy những khu vực nhỏ được tưới nước. Tuy nhiên, nguy hiểm rình rập khắp vùng - nếu không cẩn thận, những nơi đó sẽ trở nên chẳng mấy thân thiện.",
MapMetadata.Spillage.Name,Tràn bờ,
MapMetadata.Terraces.Description,"Nhiều cộng đồng chọn định cư ở những vùng đất cao, tận dụng sở trường xây dựng theo chiều dọc mới tìm ra của loài hải ly.",
MapMetadata.Terraces.Name,Ruộng bậc thang,
MapMetadata.ThousandIslands.Description,"Ngay cả đối với những tay bơi lội bẩm sinh, việc biến một quần đảo thành thuộc địa công nghiệp hưng thịnh không phải là điều dễ dàng.",
MapMetadata.ThousandIslands.Name,Quần đảo Quần tụ,
MapMetadata.Waterfalls.Description,"Mẹo cũ của cha mẹ là bảo hải ly con rằng thác nước chỉ là một cổng xả lớn. Tại đây, chúng sẽ mất nhiều tuần để tìm cần gạt tắt.",
MapMetadata.Waterfalls.Name,Thác nước,
MapSelection.BrowseMaps,Duyệt bản đồ cục bộ,Label of the button that opens a file explorer with a folder with custom maps. Please keep short.
MapSelection.CustomMaps,Bản đồ tùy chỉnh,Label of the toggle button that shows custom maps
MapSelection.DownloadMaps,Tải bản đồ về,Label of the button that opens some panel where custom maps can be downloaded
MapSelection.Header,Chọn bản đồ,
MapSelection.LocalMap,Bản đồ cục bộ,Tooltip of an icon in map selection panel that indicates that the map is stored in Documents folder.
MapSelection.NoDescription,Chưa có mô tả.,Text shown in map selection panel when the selected map has no description
MapSelection.NonCompatibleMapVersion,Phiên bản bản đồ này ({0}) không tương thích với phiên bản game hiện tại ({1}) và không thể tải.,"{0} is the map version (e.g. 0.1.15.1), {1} is the game version (in the same format). This message is shown after a player tries to start game on (or edit) an incompatible map."
MapSelection.OfficialMaps,Bản đồ chính thức,Label of the toggle button that shows official maps
MapSelection.Recommended,Thích hợp cho người mới,Label of the maps that are recommended for beginners
MapSelection.SemiCompatibleMapVersion,"Phiên bản bản đồ này ({0}) không tương thích với phiên bản game hiện tại ({1}). Việc bắt đầu trò chơi trên bản đồ này có thể gây văng game, bạn có thể gặp lỗi hỏng game và thiếu một số tài nguyên mới quan trọng. Chúng tôi khuyên bạn nên cập nhật bản đồ để trải nghiệm trọn vẹn các tính năng mới. 

Bạn có chắc chắn muốn bắt đầu trò chơi?","{0} is the map version (e.g. 0.1.15.1), {1} is the game version (in the same format). This message is shown after a player tries to start game on an incompatible map."
MapSelection.Unconventional,Độc đáo,"Label of the maps that have some special, different, unconventional mechanics"
Mechanical.BatteryCharge,{0} / {1},"Current and total value of battery charge. {0} is current value, {1} is total value."
Mechanical.Charge,Mức sạc,Current battery charge (how much power a battery has left)
Mechanical.Efficiency,Hiệu suất: {0}%,{0} stands for efficiency percentage number. How efficient workshop is at using the power.\
Mechanical.NetworkPower,Cung cấp / Nhu cầu năng lượng mạng lưới: {0} / {1},{0} stands for supply amount {1} stands for demand amount followed by PowerSymbol
Mechanical.PowerCapacity,Dung lượng,Stands for battery capacity.
Mechanical.PowerInput,Năng lượng đầu vào: {0},{0} stands for power amount followed by PowerSymbol
Mechanical.PowerInputMaximum,Năng lượng đầu vào / tối đa: {0} / {1} ({2}%),{0} stands for input amount {1} stands for maximum amount followed by PowerSymbol {2} stands for efficency ratio in percent
Mechanical.PowerOutput,Năng lượng đầu ra: {0},{0} stands for power amount
Menu.Continue,Tiếp tục,A button in main menu which opens the previously played game. Please keep short
Menu.Credits,Danh bạ tác giả,A button please keep short
Menu.EditMap,Chỉnh sửa bản đồ,A button please keep short
Menu.ExitChangesLostPrompt,Bạn có chắc chắn muốn thoát không? Những thay đổi chưa lưu sẽ bị mất.,
Menu.ExitGame,Thoát trò chơi,A button please keep short
Menu.ExitToDesktop,Thoát ra màn hình,A button please keep short
Menu.ExitToDesktopPrompt,Bạn có chắc chắn muốn thoát khỏi trò chơi?,
Menu.ExitToMenu,Thoát ra menu chính,A button please keep short
Menu.ExitToMenuPrompt,Bạn có chắc chắn muốn thoát ra menu chính không?,
Menu.Feedback,Đến trang góp ý,A button please keep short
Menu.KeyBindings,Gán phím,A button please keep short
Menu.LoadGame,Tải trò chơi,A button please keep short
Menu.ModManager,Mod,Label of a button that opens the mod manager.
Menu.NewGame,Trò chơi mới,A button please keep short
Menu.NewMap,Tạo bản đồ mới,A button please keep short
Menu.Resume,Tiếp tục,"A button in game and map editor menu, please keep short"
Menu.SaveGame,Lưu trò chơi,A button please keep short
Menu.Settings,Cài đặt,A button please keep short
Migration.AutomaticEmigrationDisabled,Đã tắt tự động di cư đi.,Shown on tooltip of disabled automatic emigration toggle
Migration.AutomaticEmigrationEnabled,Đã bật tự động di cư đi.,Shown on tooltip of enabled automatic emigration toggle
Migration.AutomaticImmigrationDisabled,Đã tắt tự động nhập cư.,Shown on tooltip of disabled automatic immigration toggle
Migration.AutomaticImmigrationEnabled,Đã bật tự động nhập cư.,Shown on tooltip of enabled automatic immigration toggle
Migration.AutomaticMigration,Tự động di cư,Shown above list of districts' automatic migration settings
Migration.DistrictsNotConnected,Các khu vực được chọn không được kết nối với nhau.,Shown on tooltip of disabled migration buttons when the chosen districts are not connected
Migration.HighMinimumWarning,Khu vực sẽ nhận thêm cư dân từ các khu vực khác khi họ sẵn sàng.,"Shown on tooltip of warning icon, that shows up when minimum for given population is higher than it's current amount"
Migration.ManualMigration,Di cư thủ công,Shown above manual migration panel
Migration.MigratePopulation,Di cư dân số,Button please keep short
Migration.Minimum,Tối thiểu,"Label shown in front of input field, with desired minimum amount of population in district"
Migration.SameDistrict,Không thể di cư trong cùng một khu vực.,Shown on tooltip of disabled migration buttons when the chosen districts are same
Modding.ActiveMods,Mod đang hoạt động,A label for the list of mods active in the game.
Modding.BrowseMods,Duyệt mod nội bộ,Label of the button that opens a file explorer with a folder with mods. Please keep short.
Modding.CloudSource,Mod {0},"Tooltip with source of the mod. {0} is the name of the cloud platform, for example Steam Workshop."
Modding.CreateMod,Tạo mod,Label of a button that creates a new mod. Please keep short.
Modding.CreateNewMod,Tạo mod mới,Label of a button that allows to create a new mod and a header of the panel that it opens.
Modding.DecreasePriority,Giảm độ ưu tiên tải,Label of a button that decreases the loading priority of a mod.
Modding.DocumentationButton,Xem tài liệu,Label of a button that opens modding documentation. Please keep short.
Modding.DownloadMods,Tải mod về,Label of the button that opens some panel where mods can be downloaded. Please keep short.
Modding.IncreasePriority,Tăng độ ưu tiên tải,Label of a button that increases the loading priority of a mod.
Modding.LoadConfirmation,Bạn có chắc chắn muốn tải không?,A message displayed in the mod incompatibility dialog box.
Modding.LocalSource,Mod nội bộ,Tooltip saying that the mod is stored locally.
Modding.MissingMod,Bị thiếu mod.,Shown on a tooltip for an icon that indicates a missing of a mod saved in save file.
Modding.ModCreatedMessage,"Mod của bạn đã được tạo trong thư mục này:
<link><b>{0}</b></link>

Hãy khởi động lại trò chơi để tải mod.",Message shown when a mod is created successfully. {0} is a path to the mod folder. Do not remove <link><b> tags.
Modding.ModManagerHeader,Mod,Header of the mod manager panel.
Modding.ModNameTaken,Tên mod đã được sử dụng.,Error shown when trying to create a mod with a name that is already used by another mod.
Modding.ModWarning.InvalidGameVersion,Mod này yêu cầu phiên bản trò chơi mới hơn: {0}.,Message that is shown when a mod requires a higher game version. {0} is the required game version.
Modding.ModWarning.MissingRequiredMod,Thiếu mod bắt buộc: {0}.,Message that is shown when a mod is missing a required mod. {0} is the ID of the required mod.
Modding.ModWarning.RequiredModInvalidOrder,"Mod bắt buộc ""{0}"" nằm dưới mod này trong thứ tự tải.",Message that is shown when a required mod is below the mod in the load order. {0} is the ID of the required mod.
Modding.ModWarning.RequiredModInvalidVersion,Phiên bản của mod bắt buộc '{0}' thấp hơn mức tối thiểu yêu cầu.,Message that is shown when a required mod has a version below the minimum required version. {0} is the ID of the required mod.
Modding.ModWarning.RequiredModNotEnabled,"Mod bắt buộc ""{0}"" chưa được bật.",Message that is shown when a required mod is not enabled. {0} is the ID of the required mod.
Modding.ModsIncompatibilityMessage,Bạn đang cố tải tệp lưu mà không có các mod từng được dùng khi lưu.,A message displayed in the mod incompatibility dialog box.
Modding.NewModLanguage,Mã ngôn ngữ,Label of a field that allows to set a language code for a localization mod. Please keep short.
Modding.NewModName,Tên mod,Label of a field that allows to set a name for a new mod. Please keep short.
Modding.ResetOrder,Đặt lại thứ tự tải,Label of a button that resets the order of mods.
Modding.RestartWarning,Các thay đổi sẽ không có hiệu lực cho đến khi khởi động lại.,Message that is shown when the player has changed something in Mod Manager and need to restart the game for the changes to take effect.
Modding.SavedMods,Mod trong tệp lưu,A label for the list of mods found in the save file.
Modding.ShowSavedMods,Mod: {0},A label for the button that opens a panel with the list of mods found in the save file. {0} is a placeholder for the number of mods.
Modding.ShowUploadPanel,Tải mod lên,Label of a button that opens the panel with list of mods that can be uploaded to some cloud platform.
Modding.TemplateType,Mẫu,Label of a dropdown that allows to select a template type for a mod. Please keep short.
Modding.ThumbnailInfo,"Thêm một tệp hình ảnh có tên ""thumbnail"" vào thư mục mod này để đặt ảnh thu nhỏ. Tệp phải nhỏ hơn 1 MB và ưu tiên tỷ lệ khung hình 16:9.",Info text that explains how to set a thumbnail for a mod
Modding.UploadPanelHeader,Tải mod lên,Header of the panel that allows uploading mods to some cloud platform.
Modding.VersionMismatch,Không khớp phiên bản.,Shown on a tooltip for an icon that indicates a version mismatch between the mod saved in save file and the active one.
Mouse.ScrollDown,Cuộn ↓,Label of the mouse scroll down input
Mouse.ScrollLeft,Cuộn ←,Label of the mouse scroll left input
Mouse.ScrollRight,Cuộn →,Label of the mouse scroll right input
Mouse.ScrollUp,Cuộn ↑,Label of the mouse scroll up input
NaturalResource.Birch.DisplayName,Gỗ bạch dương,Tree of the genus Betula.
NaturalResource.Birch.FlavorDescription,"""Nhớ kĩ nhé các con, đừng bóc quá nhiều vỏ! Làm thế sẽ hại cây đấy!"" —Bà Ngonel","Peeling stripes of birch bark is oddly satisfying. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
NaturalResource.Blueberry.DisplayName,Việt quất,Plant of the genus Vaccinium
NaturalResource.Blueberry.FlavorDescription,"""Rồi các con sẽ phải mò đến xin thêm món này khi hạn hán giáng xuống cho xem."" —Bà Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
NaturalResource.Canola.DisplayName,Hạt cải dầu,Should be consistent with Good.CanolaSeeds.DisplayName
NaturalResource.Canola.FlavorDescription,Cái cớ hoàn hảo nhất để trồng hoa trong một khu định cư của Răng Sắt.,"The Iron Teeth are down-to-earth workers focused on work and work only, they wouldn't care enough to grow flowers - unless it has its practical use, as is the case here."
